zip,county,n_orgs,n_human_services,total_revenue,population,poverty_count,poverty_rate,lat,lon,orgs_per_1k,hs_per_1k
99025,Spokane County,21,1,639648.0,5806.0,192.0,3.3,47.737863,-117.072819,3.6169479848432657,0.1722356183258698
99026,Stevens County,40,1,3185570.0,9206.0,475.0,5.2,47.811420560304,-117.5932922940735,4.344992396263307,0.10862480990658266
99027,Spokane County,14,1,71661.0,5878.0,253.0,4.3,47.700751482197745,-117.1152659205525,2.3817625042531474,0.1701258931609391
99029,Lincoln County,13,2,370401.0,1775.0,253.0,14.3,47.702034,-117.835029,7.323943661971831,1.1267605633802817
99030,Spokane County,8,2,311313.0,610.0,41.0,6.7,47.478708,-117.118359,13.114754098360656,3.278688524590164
99031,Spokane County,12,0,126625.0,1434.0,224.0,15.6,47.450052,-117.3788505,8.368200836820083,0.0
99032,Lincoln County,9,2,0.0,1022.0,132.0,12.9,47.310741,-118.010862,8.806262230919765,1.9569471624266144
99033,Whitman County,9,2,401847.0,765.0,80.0,10.5,47.229453,-117.079542,11.76470588235294,2.6143790849673203
99034,Stevens County,4,0,98782.0,105.0,79.0,75.2,47.882252322478905,-117.7165677742725,38.0952380952381,0.0
99036,Spokane County,6,0,227871.0,1588.0,63.0,4.0,47.541396358647,-117.2659005,3.778337531486146,0.0
99037,Spokane County,71,9,261859006.0,16597.0,1508.0,9.1,47.6494503008541,-117.196462483958,4.277881544857505,0.542266674700247
99039,Spokane County,2,0,0.0,163.0,15.0,9.2,47.3447013819318,-117.228583372468,12.269938650306749,0.0
99040,Stevens County,4,2,1458868.0,530.0,127.0,24.0,47.877678,-117.980082,7.547169811320755,3.7735849056603774
99101,Stevens County,11,2,801774.0,1538.0,234.0,15.2,48.341907,-117.908746256103,7.152145643693108,1.3003901170351106
99102,Whitman County,2,0,0.0,448.0,31.0,6.9,46.791963,-117.250299,4.464285714285714,0.0
99103,Lincoln County,4,1,0.0,534.0,68.0,12.7,47.736756,-118.93077,7.49063670411985,1.8726591760299625
99109,Stevens County,57,6,27494271.0,5042.0,610.0,12.1,48.2788687368862,-117.7260615,11.305037683458945,1.190003966679889
99110,Stevens County,8,1,275987.0,1592.0,4.0,0.3,48.006828,-117.559872,5.025125628140704,0.628140703517588
99111,Whitman County,61,24,8401350.0,3984.0,357.0,9.0,46.8825267624214,-117.364675471579,15.311244979919678,6.024096385542169
99113,Whitman County,16,3,95756.0,535.0,5.0,0.9,46.588671,-117.151821,29.906542056074766,5.607476635514018
99114,Stevens County,126,22,34054335.0,12618.0,1639.0,13.0,48.539551316724896,-117.89434947111849,9.985734664764621,1.7435409732128706
