ein,name,city,zip,county,county_state,lat,lon,ruling_year,ntee,ntee_major,ntee_major_name,subsector,subsector_name,ntee_code_definition,subsection_code,foundation_code,revenue,income,assets,state
82-0500322,Relatives As Parents,Coeur D Alene,83815,Kootenai County,"Kootenai County, ID",47.707398807375,-116.84142993961,1998.0,O99,O,Youth Development,HMS,Human Services,Youth Development N.E.C.,3,15,0.0,0.0,0.0,ID
82-0500598,Marine Corps League,Hayden,83835,Kootenai County,"Kootenai County, ID",47.775114,-116.7681915,1946.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,4,0,0.0,0.0,0.0,ID
82-0500733,Community Building Partners,Post Falls,83854,Kootenai County,"Kootenai County, ID",47.711286,-116.9449995307,1998.0,N31,N,Recreation & Sports,HMS,Human Services,Community Recreational Centers,3,15,246827.0,246827.0,1330073.0,ID
82-0501975,Coeur Dalene Jr Tackle Football,Coeur D Alene,83816,Kootenai County,"Kootenai County, ID",47.673972,-116.776872,2014.0,N65,N,Recreation & Sports,HMS,Human Services,Football,3,16,99264.0,99264.0,165584.0,ID
82-0502091,Zeta Chi House,Moscow,83843,Latah County,"Latah County, ID",46.7325285070978,-116.976286314877,1999.0,B83,B,Education,EDU,Education,"Student Sororities, Fraternities",7,0,436451.0,436451.0,601563.0,ID
82-0502157,Scenic 6 Community Development Council,Potlatch,83855,Latah County,"Latah County, ID",46.941246,-116.916489,2005.0,S31,S,Community Improvement,PSB,Public & Societal Benefit,"Urban, Community Economic Development",3,16,0.0,0.0,0.0,ID
82-0502602,Latah Trail Foundation,Moscow,83843,Latah County,"Latah County, ID",46.730574,-116.9923185,1998.0,INVALID,I,Crime & Legal-Related,UNU,Unclassified,UNDEFINED,3,15,26016.0,26016.0,404543.0,ID
82-0503482,Beta Alpha Psi National Council,Moscow,83844,Latah County,"Latah County, ID",46.7256276321647,-117.010479921974,1974.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,16,0.0,0.0,0.0,ID
82-0504884,Moscow Chamber Foundation,Moscow,83843,Latah County,"Latah County, ID",46.730574,-116.9923185,1999.0,B82,B,Education,EDU,Education,"Scholarships, Student Financial Aid Services, Awards",3,15,70887.0,93325.0,183706.0,ID
82-0504991,Second Chance Pet Rescue,Hayden,83835,Kootenai County,"Kootenai County, ID",47.775114,-116.7681915,2003.0,D20,D,Animal-Related,ENV,Environment & Animals,Animal Protection and Welfare,3,16,0.0,0.0,0.0,ID
82-0505302,Real Life Ministries,Post Falls,83854,Kootenai County,"Kootenai County, ID",47.726037,-116.901675,2000.0,X20,X,Religion-Related,REL,Religion,Christianity,3,10,,,,ID
82-0505357,Latah County 4H And Ffa Market Animal Sale,Moscow,83843,Latah County,"Latah County, ID",46.730574,-116.9923185,2000.0,O52,O,Youth Development,HMS,Human Services,Youth Development - Agricultural,3,15,907505.0,907505.0,41964.0,ID
82-0505459,Moscow Charter School,Moscow,83843,Latah County,"Latah County, ID",46.7402495359226,-116.97813,1999.0,B24,B,Education,EDU,Education,"Primary, Elementary Schools",3,11,2157873.0,2157873.0,3623448.0,ID
82-0505797,Open Arms Pcc And Real Choices Clinic,Hayden,83835,Kootenai County,"Kootenai County, ID",47.7450288809144,-116.784749239864,1999.0,E40,E,Health Care,HEL,Health,Reproductive Health Care Facilities and Allied Services,3,15,1116106.0,1116106.0,4062453.0,ID
82-0506112,Human Rights Education Institute,Coeur D Alene,83816,Kootenai County,"Kootenai County, ID",47.673972,-116.776872,1999.0,R30,R,Civil Rights & Advocacy,PSB,Public & Societal Benefit,"Intergroup, Race Relations",3,15,0.0,0.0,0.0,ID
82-0506412,Coeur Dalene Little League,Coeur D Alene,83815,Kootenai County,"Kootenai County, ID",47.7072407507073,-116.784696798632,2025.0,N63,N,Recreation & Sports,HMS,Human Services,"Baseball, Softball",3,16,0.0,0.0,0.0,ID
82-0508055,Shoshone First Baptist Church,Shoshone,83352,Lincoln County,"Lincoln County, WA",42.935575,-114.407225,1955.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,10,,,,ID
82-0509115,Canyon School Organization,Cataldo,83810,Kootenai County,"Kootenai County, ID",47.5753984771192,-116.413932689682,2022.0,B94,B,Education,EDU,Education,Parent/Teacher Group,3,15,0.0,0.0,0.0,ID
82-0509161,North Idaho Aids Coalition,Coeur D Alene,83814,Kootenai County,"Kootenai County, ID",47.697561,-116.786316481908,1999.0,E70,E,Health Care,HEL,Health,Public Health Program (Includes General Health and Wellness Promotion Services),3,15,563338.0,563338.0,539503.0,ID
82-0509670,Coeur D Alene Charter Academy,Coeur D Alene,83815,Kootenai County,"Kootenai County, ID",47.71644246956,-116.7964605,1999.0,B24,B,Education,EDU,Education,"Primary, Elementary Schools",3,11,,,,ID
